year,iso_code,country,co2,population,share_co2,share_tmp_ghg,tmp_change_co2,tmp_change_ghg,gdp,kyoto_ratification_year,kyoto_us_ratification_year,paris_ratification_year,kyoto_dummy,kyoto_us_dummy,paris_dummy,time,ln_co2,ln_population,ln_share_co2,ln_share_tmp_ghg,ln_tmp_change_co2,ln_tmp_change_ghg,ln_gdp,zln_co2,zln_population,zln_share_co2,zln_share_tmp_ghg,zln_tmp_change_co2,zln_gdp,Kyoto_and_Paris,None,time_kyoto,time_paris,time_kyoto_us,continent,UN_region,hdicode,development_status,developing,developed,developed_kyoto,developed_paris,developing_kyoto,developing_paris,income,high_income,low_income,high_kyoto,high_paris,low_kyoto,low_paris,hdi_very_high,hdi_high,hdi_medium,hdi_low,h_income,um_income,lm_income,l_income,kyoto_high,paris_high,kyoto_low,paris_low,kyoto_um,paris_um,kyoto_lm,paris_lm,vh_hdi,h_hdi,m_hdi,l_hdi,kyoto_vh,paris_vh,kyoto_h,paris_h,kyoto_m,paris_m,kyoto_l,paris_l,composite_hdi,vh_h,ln_co2_lag1
2002,AFG,Afghanistan,1.341,21378123,0.005,0.079,0.0,0.001,109886000000.0,2013,2013,2017,0,0,0,13,0.293490173,16.87787867,-5.278514739,-2.537042404,-9.210340372,-6.812445099,25.42271141,-0.716720464,0.690803225,-0.667990638,-0.146896708,-0.999172229,-0.149567257,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.066817173
2003,AFG,Afghanistan,1.56,22733054,0.006,0.078,0.0,0.001,131754000000.0,2013,2013,2017,0,0,0,14,0.444749922,16.93933055,-5.099466508,-2.549765222,-9.210340372,-6.812445099,25.60419954,-0.658152,0.718037214,-0.599324396,-0.153026121,-0.999172229,-0.096429149,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.293490173
2004,AFG,Afghanistan,1.237,23560656,0.004,0.078,0.0,0.001,147229000000.0,2013,2013,2017,0,0,0,15,0.212769931,16.97508876,-5.496768305,-2.549765222,-9.210340372,-6.812445099,25.71525191,-0.747975709,0.73388439,-0.751692398,-0.153026121,-0.999172229,-0.063914004,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.444749922
2005,AFG,Afghanistan,1.89,24404574,0.006,0.078,0.0,0.001,179479000000.0,2013,2013,2017,0,0,0,16,0.636629738,17.01028113,-5.099466508,-2.549765222,-9.210340372,-6.812445099,25.91332571,-0.583855261,0.749480799,-0.599324396,-0.153026121,-0.999172229,-0.005919758,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.212769931
2006,AFG,Afghanistan,2.159,25424100,0.007,0.078,0.0,0.001,202729000000.0,2013,2013,2017,0,0,0,17,0.769691468,17.0512081,-4.947660495,-2.549765222,-9.210340372,-6.812445099,26.03513398,-0.532333153,0.767618643,-0.541105734,-0.153026121,-0.999172229,0.02974462,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.636629738
2007,AFG,Afghanistan,2.8,25909852,0.009,0.078,0.0,0.001,277217000000.0,2013,2013,2017,0,0,0,18,1.029655131,17.07013384,-4.699480865,-2.549765222,-9.210340372,-6.812445099,26.34806664,-0.431674038,0.776006074,-0.44592712,-0.153026121,-0.999172229,0.121368516,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.769691468
2008,AFG,Afghanistan,4.254,26482629,0.013,0.078,0.0,0.001,294084000000.0,2013,2013,2017,0,0,0,19,1.447883224,17.09199957,-4.335143049,-2.549765222,-9.210340372,-6.812445099,26.40713289,-0.269734216,0.785696436,-0.306201034,-0.153026121,-0.999172229,0.138662586,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.029655131
2009,AFG,Afghanistan,6.392,27466101,0.02,0.078,0.0,0.001,350205000000.0,2013,2013,2017,0,0,0,20,1.855062853,17.12846311,-3.907035464,-2.549765222,-9.210340372,-6.812445099,26.58178389,-0.112072408,0.801856198,-0.142018798,-0.153026121,-0.999172229,0.189798846,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.447883224
2010,AFG,Afghanistan,8.365,28284088,0.025,0.079,0.0,0.001,410515000000.0,2013,2013,2017,0,0,0,21,2.124068289,17.15780994,-3.684887433,-2.537042404,-9.210340372,-6.812445099,26.74067827,-0.007912278,0.814862005,-0.056823483,-0.146896708,-0.999172229,0.236321706,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.855062853
2011,AFG,Afghanistan,11.838,29347709,0.034,0.08,0.0,0.001,478500000000.0,2013,2013,2017,0,0,0,22,2.471323144,17.19472504,-3.378457895,-2.524479425,-9.210340372,-6.812445099,26.89392199,0.126546384,0.831221886,0.060694376,-0.1408443,-0.999172229,0.281190103,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.124068289
2012,AFG,Afghanistan,10.035,30560036,0.029,0.08,0.0,0.001,573564000000.0,2013,2013,2017,0,0,0,23,2.306088947,17.2352037,-3.537017105,-2.524479425,-9.210340372,-6.812445099,27.07513538,0.06256695,0.849161049,-0.000114184,-0.1408443,-0.999172229,0.33424777,0,1,0,0,0,Asia,Southern Asia,Low,developing,1,0,0,0,0,0,Low income,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.471323144
2013,AFG,Afghanistan,9.229,31622708,0.026,0.081,0.0,0.001,632399000000.0,2013,2013,2017,1,1,0,24,2.222361536,17.26938603,-3.645819965,-2.512072318,-9.210340372,-6.812445099,27.17278572,0.030147315,0.864309831,-0.041840837,-0.134866986,-0.999172229,0.36283892,0,0,24,0,24,Asia,Southern Asia,Low,developing,1,0,0,0,1,0,Low income,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.306088947
2014,AFG,Afghanistan,9.086,32792527,0.026,0.082,0.001,0.001,652581000000.0,2013,2013,2017,1,1,0,25,2.206745773,17.30571121,-3.645819965,-2.499817263,-6.812445099,-6.812445099,27.20420088,0.024100821,0.880408275,-0.041840837,-0.128962925,0.287705398,0.372036999,0,0,25,0,25,Asia,Southern Asia,Low,developing,1,0,0,0,1,0,Low income,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.222361536
2015,AFG,Afghanistan,9.67,33831765,0.027,0.082,0.001,0.001,674162000000.0,2013,2013,2017,1,1,0,26,2.269038651,17.33691071,-3.608221551,-2.499817263,-6.812445099,-6.812445099,27.23673574,0.048220907,0.89423514,-0.027421584,-0.128962925,0.287705398,0.381562918,0,0,26,0,26,Asia,Southern Asia,Low,developing,1,0,0,0,1,0,Low income,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.206745773
2016,AFG,Afghanistan,8.906,34700614,0.025,0.082,0.001,0.001,675831000000.0,2013,2013,2017,1,1,0,27,2.186736435,17.36226794,-3.684887433,-2.499817263,-6.812445099,-6.812445099,27.23920837,0.016353114,0.905472851,-0.056823483,-0.128962925,0.287705398,0.382286882,0,0,27,0,27,Asia,Southern Asia,Low,developing,1,0,0,0,1,0,Low income,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.269038651
2017,AFG,Afghanistan,9.677,35688942,0.027,0.083,0.001,0.001,707899000000.0,2013,2013,2017,1,1,1,28,2.26976227,17.39035145,-3.608221551,-2.487710577,-6.812445099,-6.812445099,27.28556789,0.048501095,0.917918785,-0.027421584,-0.123130344,0.287705398,0.395860536,1,0,28,28,28,Asia,Southern Asia,Low,developing,1,0,0,0,1,1,Low income,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.186736435
2018,AFG,Afghanistan,10.602,36743040,0.029,0.083,0.001,0.001,729842000000.0,2013,2013,2017,1,1,1,29,2.361052095,17.41945938,-3.537017105,-2.487710577,-6.812445099,-6.812445099,27.31609382,0.083848931,0.930818715,-0.000114184,-0.123130344,0.287705398,0.404798256,1,0,29,29,29,Asia,Southern Asia,Low,developing,1,0,0,0,1,1,Low income,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.26976227
2019,AFG,Afghanistan,10.825,37856126,0.029,0.083,0.001,0.001,807884000000.0,2013,2013,2017,1,1,1,30,2.381867512,17.44930337,-3.537017105,-2.487710577,-6.812445099,-6.812445099,27.41768414,0.091908756,0.944044853,-0.000114184,-0.123130344,0.287705398,0.434542999,1,0,30,30,30,Asia,Southern Asia,Low,developing,1,0,0,0,1,1,Low income,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.361052095
2020,AFG,Afghanistan,11.606,39068978,0.033,0.083,0.001,0.001,838901000000.0,2013,2013,2017,1,1,1,31,2.451530822,17.48083931,-3.408221997,-2.487710577,-6.812445099,-6.812445099,27.45535819,0.118882707,0.958020817,0.049279636,-0.123130344,0.287705398,0.445573624,1,0,31,31,31,Asia,Southern Asia,Low,developing,1,0,0,0,1,1,Low income,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.381867512
1991,ALB,Albania,4.29,3282607,0.019,0.035,0.0,0.0,17292681640.0,2005,2005,2016,0,0,0,2,1.456310043,15.00414848,-3.958066944,-3.349554149,-9.210340372,-9.210340372,23.57354922,-0.266471313,-0.139588736,-0.161589725,-0.538336699,-0.999172229,-0.690985484,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.708577116
1992,ALB,Albania,2.517,3282506,0.011,0.035,0.0,0.0,33212834752.0,2005,2005,2016,0,0,0,3,0.923107445,15.00411771,-4.500810171,-3.349554149,-9.210340372,-9.210340372,24.22620223,-0.472929788,-0.139602372,-0.369735527,-0.538336699,-0.999172229,-0.499894495,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.456310043
1993,ALB,Albania,2.338,3277830,0.01,0.034,0.0,0.0,70124471760.0,2005,2005,2016,0,0,0,4,0.849338634,15.00269218,-4.595219855,-3.378457895,-9.210340372,-9.210340372,24.97353767,-0.501493408,-0.140234136,-0.405942298,-0.552261522,-0.999172229,-0.281081331,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.923107445
1994,ALB,Albania,1.924,3269417,0.008,0.034,0.0,0.0,99587034432.0,2005,2005,2016,0,0,0,5,0.654458326,15.00012224,-4.815891217,-3.378457895,-9.210340372,-9.210340372,25.32429782,-0.576951951,-0.141373069,-0.4905713,-0.552261522,-0.999172229,-0.178381882,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.849338634
1995,ALB,Albania,2.089,3258571,0.009,0.034,0.0,0.0,122502000000.0,2005,2005,2016,0,0,0,6,0.736733351,14.99679931,-4.699480865,-3.378457895,-9.210340372,-9.210340372,25.53139639,-0.545094686,-0.14284571,-0.44592712,-0.552261522,-0.999172229,-0.117745262,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.654458326
1996,ALB,Albania,2.018,3245681,0.008,0.033,0.0,0.0,179648000000.0,2005,2005,2016,0,0,0,7,0.702156475,14.99283575,-4.815891217,-3.408221997,-9.210340372,-9.210340372,25.91426727,-0.55848301,-0.144602267,-0.4905713,-0.566600835,-0.999172229,-0.005644079,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.736733351
1997,ALB,Albania,1.543,3229665,0.006,0.033,0.0,0.0,176682000000.0,2005,2005,2016,0,0,0,8,0.43379338,14.98788897,-5.099466508,-3.408221997,-9.210340372,-9.210340372,25.89761812,-0.662394423,-0.146794557,-0.599324396,-0.566600835,-0.999172229,-0.010518801,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.702156475
1998,ALB,Albania,1.755,3210133,0.007,0.033,0.0,0.0,204450000000.0,2005,2005,2016,0,0,0,9,0.562525835,14.98182293,-4.947660495,-3.408221997,-9.210340372,-9.210340372,26.04359047,-0.61254863,-0.149482883,-0.541105734,-0.566600835,-0.999172229,0.032220603,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.43379338
1999,ALB,Albania,2.986,3188596,0.012,0.032,0.0,0.0,235471000000.0,2005,2005,2016,0,0,0,10,1.093968188,14.97509125,-4.414549826,-3.438899249,-9.210340372,-9.210340372,26.1848523,-0.40677173,-0.152466198,-0.336654085,-0.581380071,-0.999172229,0.073580809,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.562525835
2000,ALB,Albania,3.025,3166147,0.012,0.032,0.0,0.0,265336000000.0,2005,2005,2016,0,0,0,11,1.106944149,14.96802595,-4.414549826,-3.438899249,-9.210340372,-9.210340372,26.30426405,-0.401747379,-0.15559737,-0.336654085,-0.581380071,-0.999172229,0.108543507,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.093968188
2001,ALB,Albania,3.221,3147941,0.013,0.031,0.0,0.0,297828000000.0,2005,2005,2016,0,0,0,12,1.169722916,14.96225915,-4.335143049,-3.47054746,-9.210340372,-9.210340372,26.41978333,-0.377439154,-0.158153078,-0.306201034,-0.596627082,-0.999172229,0.142366525,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.106944149
2002,ALB,Albania,3.748,3134094,0.014,0.031,0.0,0.0,322284000000.0,2005,2005,2016,0,0,0,13,1.321249045,14.9578507,-4.261580482,-3.47054746,-9.210340372,-9.210340372,26.49869985,-0.318767547,-0.160106797,-0.277989278,-0.596627082,-0.999172229,0.165472578,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.169722916
2003,ALB,Albania,4.303,3118092,0.016,0.03,0.0,0.0,357040000000.0,2005,2005,2016,0,0,0,14,1.459335693,14.95273183,-4.128936007,-3.503230107,-9.210340372,-9.210340372,26.60111387,-0.265299767,-0.162375352,-0.227119199,-0.612372449,-0.999172229,0.195458492,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.321249045
2004,ALB,Albania,4.177,3098663,0.015,0.03,0.0,0.0,388175000000.0,2005,2005,2016,0,0,0,15,1.429617226,14.94648129,-4.193060535,-3.503230107,-9.210340372,-9.210340372,26.68472108,-0.276806893,-0.165145444,-0.251711402,-0.612372449,-0.999172229,0.219937939,0,1,0,0,0,Europe,Southern Europe,High,developing,1,0,0,0,0,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.459335693
2005,ALB,Albania,4.261,3076155,0.014,0.03,0.0,0.0,422644000000.0,2005,2005,2016,1,1,0,16,1.449527343,14.939191,-4.261580482,-3.503230107,-9.210340372,-9.210340372,26.76979689,-0.269097605,-0.168376324,-0.277989278,-0.612372449,-0.999172229,0.244847377,0,0,16,0,16,Europe,Southern Europe,High,developing,1,0,0,0,1,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.429617226
2006,ALB,Albania,3.911,3050804,0.013,0.029,0.0,0.0,458257000000.0,2005,2005,2016,1,1,0,17,1.363818664,14.93091572,-4.335143049,-3.537017105,-9.210340372,-9.210340372,26.85069703,-0.302284396,-0.172043727,-0.306201034,-0.628649853,-0.999172229,0.26853422,0,0,17,0,17,Europe,Southern Europe,High,developing,1,0,0,0,1,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.449527343
2007,ALB,Albania,3.949,3022887,0.013,0.029,0.0,0.0,506023000000.0,2005,2005,2016,1,1,0,18,1.373487705,14.92172289,-4.335143049,-3.537017105,-9.210340372,-9.210340372,26.94984852,-0.298540499,-0.176117766,-0.306201034,-0.628649853,-0.999172229,0.297564893,0,0,18,0,18,Europe,Southern Europe,High,developing,1,0,0,0,1,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.363818664
2008,ALB,Albania,4.397,2992933,0.014,0.028,0.0,0.0,565344000000.0,2005,2005,2016,1,1,0,19,1.480945233,14.9117644,-4.261580482,-3.571985703,-9.210340372,-9.210340372,27.06070064,-0.256932455,-0.180531129,-0.277989278,-0.645496511,-0.999172229,0.330021406,0,0,19,0,19,Europe,Southern Europe,High,developing,1,0,0,0,1,0,Upper middle income,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.373487705
